cod;cod_q;classificacao;resposta;justificativa
1;1;1;1.;"leitura esquerda para direita"
2;1;0;3.;" correta, capacidade de perceber prioridade"
3;1;2;5.;"leitura direita para esquerda direita"
4;1;1;2.;"confusão na priorização e soma"
5;1;3;6.;"confusão na priorização e multiplicação por 0"
6;2;1;7.;"Nope."
7;2;0;8.;"Isso aí."
8;2;5;5.;"Vish"
9;2;5;6.;"I dont"
10;3;4;Orgão.;"Não"
11;3;0;Tecido.;"Yep."
12;3;5;Sistema.;"No no"
13;3;5;Organismo.;"Pra isso a complixidade é muito maior."
14;3;6;Cavidade.;"nem sei"
15;4;2;SELECT NomeCLiente FROM tblClientes ORDER BY "Fabio".;"ORDER BY pra confundir, certo seria casula WHERE."
16;4;5;RETURN * FROM tblClientes WITH NAME = "Fabio".;"RETURN???"
17;4;0;SELECT * FROM tblClientes WHERE NomeCliente = "Fabio".;"CORRECT."
18;4;3;GET NomeCLiente FROM tblClientes WHEN NomeCLiente = "Fabio".;"GET?"
